Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Air Relative Humidity [%](TimeStep),LIVING_UNIT1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air Relative Humidity [%](TimeStep),CRAWLSPACE_UNIT1:Zone Air Relative Humidity [%](TimeStep),Whole Building:Facility Total Purchased Electricity Energy [J](TimeStep),Whole Building:Facility Total Surplus Electricity Energy [J](TimeStep),Whole Building:Facility Net Purchased Electricity Energy [J](TimeStep),DAYSOFWEEK:Schedule Value [](TimeStep),Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Photovoltaic:ElectricityProduced [J](TimeStep),Cogeneration:ElectricityPurchased [J](TimeStep),Cogeneration:ElectricitySurplusSold [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep) 
 08/01  00:05:00,24.0333333333333,47.1666666666667,0,0,23.0004111037006,46.690519020721,20,23,50.0370870721726,58.4556842509154,199334.468923232,0,199334.468923232,1,199334.468923232,147691.598541527,0,0,199334.468923232,0,0
 08/01  00:10:00,23.6666666666667,48.3333333333333,0,0,23.3946811678963,45.7288802758407,15,27.150333404541,50.3500113920461,58.5983898397144,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  00:15:00,23.3,49.5,0,0,23.9812445265429,44.3802175014707,15,27.0366668701172,51.0690167566051,58.8650640627719,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  00:20:00,22.9333333333333,50.6666666666667,0,0,24.3398905542711,43.6780697449293,15,26.9230003356934,51.732366871155,59.1106491210724,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  00:25:00,22.5666666666667,51.8333333333333,0,0,24.5502015862909,43.370226725443,15,26.8093338012695,52.4044460757567,59.3595947467249,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  00:30:00,22.2,53,0,0,24.6759943301753,43.276747831948,15,26.6956672668457,53.1334344416344,59.6208216379362,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  00:35:00,21.8333333333333,54.1666666666667,0,0,24.7522830526948,43.3035963698965,15,26.5820007324219,53.91022308154,59.8884859939142,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  00:40:00,21.4666666666667,55.3333333333333,0,0,24.7962153349381,43.4055445349675,15,26.468334197998,54.7238677495634,60.1585436037044,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  00:45:00,21.1,56.5,0,0,24.8163211474135,43.5600526145022,15,26.3546657562256,55.5707204706774,60.4288223900691,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  00:50:00,20.7333333333333,57.6666666666667,0,0,24.8177377550719,43.7534205761887,15,26.2409992218018,56.449989085189,60.6980920295759,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  00:55:00,20.3666666666667,58.8333333333333,0,0,24.804289960121,43.9753999098329,15,26.1273326873779,57.3599368819694,60.966240813263,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  01:00:00,20,60,0,0,24.7790671785843,44.2176664585998,15,26.0136661529541,58.2979762464343,61.2376786909601,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  01:05:00,19.9166666666667,60.3333333333333,0,0,24.7483285593758,44.4593893474424,15,25.8999996185303,59.2279236271592,61.4726896305784,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  01:10:00,19.8333333333333,60.6666666666667,0,0,24.7183973884719,44.690223927918,15,26.7852096557617,60.1424623406539,61.659876585761,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  01:15:00,19.75,61,0,0,24.6912110415996,44.9079662445027,15,26.7593765258789,61.0369265531037,61.8130731028521,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  01:20:00,19.6666666666667,61.3333333333333,0,0,24.6660133512793,45.1158319817706,15,26.7335414886475,61.9031881596885,61.9520587098843,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  01:25:00,19.5833333333333,61.6666666666667,0,0,24.6414459640752,45.317755663692,15,26.7077083587646,62.7338165477866,62.0889961966934,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  01:30:00,19.5,62,0,0,24.6165132790929,45.5164521645264,15,26.6818752288818,63.5258438239702,62.2278000009313,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  01:35:00,19.4166666666667,62.3333333333333,0,0,24.5907047358167,45.7133447818364,15,26.656042098999,64.2803462885261,62.3683354641536,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  01:40:00,19.3333333333333,62.6666666666667,0,0,24.563818572261,45.9090553982944,15,26.6302089691162,65.0004407677002,62.5096405976567,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  01:45:00,19.25,63,0,0,24.535789585178,46.1038713338081,15,26.6043758392334,65.6895297216595,62.6511048807024,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  01:50:00,19.1666666666667,63.3333333333333,0,0,24.5065976586324,46.2979658273074,15,26.5785427093506,66.3506167390806,62.7924749777398,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  01:55:00,19.0833333333333,63.6666666666667,0,0,24.4762362383961,46.4914718455601,15,26.5527095794678,66.9863047978019,62.9336275421764,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  02:00:00,19,64,0,0,24.4447127231554,46.6844736617475,15,26.526876449585,67.5981125657098,63.0738858836541,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  02:05:00,19,63.9166666666667,0,0,24.4167593978253,46.8670568598911,15,26.5010433197021,68.1702731748943,63.1909877382104,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  02:10:00,19,63.8333333333333,0,0,24.3916364215857,47.0389490275761,15,25.5900001525879,68.6997169700495,63.2792055978077,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  02:15:00,19,63.75,0,0,24.3675866925382,47.2031388041258,15,25.5900001525879,69.1895412410343,63.3446782562589,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  02:20:00,19,63.6666666666667,0,0,24.3434919229301,47.3620973053867,15,25.5900001525879,69.6426877348319,63.3951251888227,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
