Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep) 
 08/01  00:05:00,24.03333333333333,47.166666666666667,0.0,0.0 
 08/01  00:10:00,23.666666666666666,48.333333333333339,0.0,0.0 
 08/01  00:15:00,23.299999999999998,49.5,0.0,0.0 
 08/01  00:20:00,22.933333333333338,50.66666666666667,0.0,0.0 
 08/01  00:25:00,22.566666666666664,51.83333333333333,0.0,0.0 
 08/01  00:30:00,22.2,53.0,0.0,0.0 
 08/01  00:35:00,21.833333333333333,54.166666666666667,0.0,0.0 
 08/01  00:40:00,21.46666666666667,55.333333333333339,0.0,0.0 
 08/01  00:45:00,21.1,56.5,0.0,0.0 
 08/01  00:50:00,20.733333333333336,57.666666666666667,0.0,0.0 
 08/01  00:55:00,20.366666666666668,58.833333333333339,0.0,0.0 
 08/01  01:00:00,20.0,60.0,0.0,0.0 
 08/01  01:05:00,19.916666666666666,60.333333333333339,0.0,0.0 
 08/01  01:10:00,19.833333333333337,60.666666666666667,0.0,0.0 
 08/01  01:15:00,19.75,61.0,0.0,0.0 
 08/01  01:20:00,19.666666666666669,61.33333333333334,0.0,0.0 
 08/01  01:25:00,19.583333333333333,61.66666666666666,0.0,0.0 
 08/01  01:30:00,19.5,62.0,0.0,0.0 
 08/01  01:35:00,19.416666666666666,62.33333333333333,0.0,0.0 
 08/01  01:40:00,19.333333333333337,62.66666666666667,0.0,0.0 
 08/01  01:45:00,19.25,63.0,0.0,0.0 
 08/01  01:50:00,19.166666666666669,63.333333333333339,0.0,0.0 
 08/01  01:55:00,19.083333333333333,63.666666666666667,0.0,0.0 
 08/01  02:00:00,19.0,64.0,0.0,0.0 
 08/01  02:05:00,18.999999999999998,63.916666666666667,0.0,0.0 
 08/01  02:10:00,19.0,63.833333333333339,0.0,0.0 
 08/01  02:15:00,19.0,63.75,0.0,0.0 
 08/01  02:20:00,19.0,63.66666666666667,0.0,0.0 
 08/01  02:25:00,19.0,63.58333333333333,0.0,0.0 
 08/01  02:30:00,19.0,63.5,0.0,0.0 
 08/01  02:35:00,19.0,63.416666666666667,0.0,0.0 
 08/01  02:40:00,19.0,63.333333333333339,0.0,0.0 
 08/01  02:45:00,19.0,63.25,0.0,0.0 
 08/01  02:50:00,19.0,63.166666666666667,0.0,0.0 
 08/01  02:55:00,19.0,63.083333333333339,0.0,0.0 
 08/01  03:00:00,19.0,63.0,0.0,0.0 
 08/01  03:05:00,18.924999999999998,63.333333333333339,0.0,0.0 
 08/01  03:10:00,18.85,63.666666666666667,0.0,0.0 
 08/01  03:15:00,18.775,64.0,0.0,0.0 
 08/01  03:20:00,18.700000000000004,64.33333333333334,0.0,0.0 
 08/01  03:25:00,18.625,64.66666666666666,0.0,0.0 
 08/01  03:30:00,18.55,65.0,0.0,0.0 
 08/01  03:35:00,18.475,65.33333333333333,0.0,0.0 
 08/01  03:40:00,18.4,65.66666666666667,0.0,0.0 
 08/01  03:45:00,18.325000000000004,66.0,0.0,0.0 
 08/01  03:50:00,18.25,66.33333333333333,0.0,0.0 
 08/01  03:55:00,18.175000000000006,66.66666666666667,0.0,0.0 
 08/01  04:00:00,18.1,67.0,0.0,0.0 
 08/01  04:05:00,18.01666666666667,67.41666666666666,0.0,0.0 
